glp_aum,glp_aum_arbi,glp_aum_avax,glp_aum_m,glp_aum_m_arbi,glp_aum_m_avax,glp_avax_apr,glp_avax_aprp,glp_eth_apr,glp_eth_aprp,time_day
347397617.82862955,308177807.8785487,39219809.95008087,347.39761782862956,308.17780787854866,39.21980995008087,0.10571113870887379,10.571113870887379,0.09429020290435078,9.429020290435078,2023-11-22 00:00:00.000 UTC
347277250.928153,309423464.0362493,37853786.89190371,347.27725092815297,309.4234640362493,37.85378689190372,0.11294031602571833,11.294031602571833,0.09601362892369243,9.601362892369243,2023-11-23 00:00:00.000 UTC
348044543.90883195,310073809.5903755,37970734.318456456,348.04454390883194,310.0738095903755,37.97073431845646,0.11325705498007035,11.325705498007036,0.09696247613204478,9.696247613204479,2023-11-24 00:00:00.000 UTC
347766203.3417917,310175051.08112264,37591152.26066904,347.7662033417917,310.17505108112266,37.59115226066904,0.11503734877051602,11.503734877051603,0.09667062040394946,9.667062040394946,2023-11-25 00:00:00.000 UTC
346453786.1998628,309116117.5031816,37337668.69668118,346.4537861998628,309.11611750318156,37.33766869668118,0.11553042108004533,11.553042108004533,0.09665991527650553,9.665991527650553,2023-11-26 00:00:00.000 UTC
343087559.20707554,305989022.18970305,37098537.01737248,343.0875592070755,305.98902218970306,37.09853701737248,0.11330189199426226,11.330189199426226,0.09565760803382839,9.565760803382839,2023-11-27 00:00:00.000 UTC
342879211.7003227,305782734.5042131,37096477.19610961,342.8792117003227,305.78273450421307,37.09647719610961,0.11190740839473676,11.190740839473676,0.09578192292898412,9.578192292898411,2023-11-28 00:00:00.000 UTC
340605538.5796285,303619023.93467164,36986514.644956864,340.6055385796285,303.61902393467165,36.98651464495686,0.10609146510442428,10.609146510442429,0.030334239208371486,3.0334239208371487,2023-11-29 00:00:00.000 UTC
332190651.02524686,295481332.97845966,36709318.04678722,332.19065102524684,295.48133297845965,36.70931804678722,0.10745888917508957,10.745888917508957,0.031034827167044858,3.1034827167044856,2023-11-30 00:00:00.000 UTC
324825041.36919975,287474363.4046082,37350677.96459157,324.82504136919977,287.4743634046082,37.35067796459157,0.11042473984816203,11.042473984816203,0.03269127315583334,3.269127315583334,2023-12-01 00:00:00.000 UTC
323114256.69566745,285894673.27852327,37219583.41714416,323.11425669566745,285.89467327852327,37.21958341714416,0.11061803649149557,11.061803649149557,0.03326085955253634,3.326085955253634,2023-12-02 00:00:00.000 UTC
