cir_supply,daily_change,fdv,market_cap,market_cap_raw,time,total_supply,weekly_change
8768521.109620051,0.02538263904006085,707.8571183955717,468.44227058463326,468442270.5846333,2023-06-05 00:00:00.000 UTC,13250000,0.18446353873250554
8766295.99235113,0.01886148789612677,741.002531355878,490.2526430903453,490252643.0903453,2023-06-04 00:00:00.000 UTC,13250000,0.19073298045336465
8764642.850300781,0.02443708262348659,742.5558034804723,491.18765388109233,491187653.8810923,2023-06-03 00:00:00.000 UTC,13250000,0.2988964767934097
8762501.550556988,0.033779054824292006,730.6621067055087,483.2021013539815,483202101.3539815,2023-06-02 00:00:00.000 UTC,13250000,0.30679165508034945
8759542.659839563,0.0235485977059366,707.952819186778,468.025880816624,468025880.816624,2023-06-01 00:00:00.000 UTC,13250000,0.311506529204304
8757480.39601193,0.039466752801824066,723.7255594170839,478.340558391538,478340558.391538,2023-05-31 00:00:00.000 UTC,13250000,0.30533598844976734
8754025.466420889,0.018844020982390425,748.3376159306973,494.4125696104165,494412569.6104165,2023-05-30 00:00:00.000 UTC,13250000,0.31200828006689146
8752376.166819556,0.03164212564019271,744.1126162065016,491.52856811437977,491528568.11437976,2023-05-29 00:00:00.000 UTC,13250000,0.3084839187668396
8749607.604988161,0.12683943592243904,741.5695105760025,489.6937531594823,489693753.1594823,2023-05-28 00:00:00.000 UTC,13250000,0.2957491960582386
8738523.710805427,0.032310656426971285,721.6870103876264,475.9606831737778,475960683.1737778,2023-05-27 00:00:00.000 UTC,13250000,0.1925555735733705
8735701.148420874,0.0384810961178547,715.5899358986564,471.7871565908161,471787156.5908161,2023-05-26 00:00:00.000 UTC,13250000,0.18727528328102241
8732340.847945837,0.01739577033457381,705.1273824320014,464.7103882729126,464710388.2729126,2023-05-25 00:00:00.000 UTC,13250000,0.17178176616166593
8730822.05419297,0.04612135884863646,731.321330910112,481.88953997069893,481889539.97069895,2023-05-24 00:00:00.000 UTC,13250000,0.16791517068880063
8726797.136769528,0.015329959713082554,786.7787279481703,518.193083043718,518193083.04371804,2023-05-23 00:00:00.000 UTC,13250000,0.15192825037774652
8725459.527339205,0.01894254954463868,790.5356109266645,520.5876587215837,520587658.72158366,2023-05-22 00:00:00.000 UTC,13250000,0.15628395469162426
8723807.015873045,0.02381960355491071,795.9561994533981,524.0579831788075,524057983.1788075,2023-05-21 00:00:00.000 UTC,13250000,0.17177088563250692
8721729.534474801,0.027038811269848674,834.0812135035602,549.0287361482705,549028736.1482705,2023-05-20 00:00:00.000 UTC,13250000,0.16554901967912472
8719371.919957448,0.0230105893586418,827.6342113163815,544.6377737470328,544637773.7470329,2023-05-19 00:00:00.000 UTC,13250000,0.16966314593166357
8717366.002663685,0.013535134106737538,837.391125039152,550.9316924036679,550931692.4036678,2023-05-18 00:00:00.000 UTC,13250000,0.16124112101367147
8716186.255165055,0.030153876977136097,829.955402060765,545.96572587487,545965725.8748701,2023-05-17 00:00:00.000 UTC,13250000,0.17501153287060467
8713558.779370394,0.01967972323506231,826.8230660986515,543.7412367237623,543741236.7237623,2023-05-16 00:00:00.000 UTC,13250000,0.18576763081321698
8711844.31252102,0.034408243706630884,831.48815931884,546.7015389955023,546701538.9955024,2023-05-15 00:00:00.000 UTC,13250000,0.18939153787782884
8708847.75096283,0.01760692714701204,813.991385959554,535.0133623333569,535013362.33335686,2023-05-14 00:00:00.000 UTC,13250000,0.19230242038556836
8707314.660414109,0.031147248455734987,811.00812296802,532.9587108554241,532958710.85542405,2023-05-13 00:00:00.000 UTC,13250000,0.19360169341511427
8704603.415961053,0.014600894635710298,793.1551243123326,521.0642116585769,521064211.6585769,2023-05-12 00:00:00.000 UTC,13250000,0.1926935933693562
8703332.651530808,0.027285238984137743,798.8885128426425,524.7541493400951,524754149.3400951,2023-05-11 00:00:00.000 UTC,13250000,0.2065052208261259
8700958.57418993,0.04089442110936513,806.7304539862836,529.76062344695,529760623.4469501,2023-05-10 00:00:00.000 UTC,13250000,0.1954772582558986
8697401.822063241,0.02329762258864042,826.4342421038259,542.4777874029637,542477787.4029638,2023-05-09 00:00:00.000 UTC,13250000,0.18361255144237887
8695376.006178658,0.037314623360794094,862.4489933157582,565.9862855117572,565986285.5117571,2023-05-08 00:00:00.000 UTC,13250000,0.17195482651883415
8692132.569648273,0.018903934761578305,913.8686451144065,599.5069746852281,599506974.6852281,2023-05-07 00:00:00.000 UTC,13250000,0.1690307845673431
