"Time","Osmo_Bonded_Ratio{instance=""localhost:8000"", job=""osmo_price"", v=""osmo_amount_bonded_ratio""}"
2024-07-11 00:00:00,54.7%
2024-07-12 00:00:00,54.7%
2024-07-13 00:00:00,54.5%
2024-07-14 00:00:00,53.1%
2024-07-15 00:00:00,53.1%
2024-07-16 00:00:00,53.1%
2024-07-17 00:00:00,53.0%
2024-07-18 00:00:00,52.8%
2024-07-19 00:00:00,52.8%
2024-07-20 00:00:00,52.8%
2024-07-21 00:00:00,52.7%
2024-07-22 00:00:00,52.7%
2024-07-23 00:00:00,52.7%
2024-07-24 00:00:00,52.6%
2024-07-25 00:00:00,52.6%
2024-07-26 00:00:00,52.6%
2024-07-27 00:00:00,52.6%
2024-07-28 00:00:00,52.6%
2024-07-29 00:00:00,52.6%
2024-07-30 00:00:00,52.6%
2024-07-31 00:00:00,52.5%
2024-08-01 00:00:00,52.3%
2024-08-02 00:00:00,52.6%
2024-08-03 00:00:00,52.6%
2024-08-04 00:00:00,52.6%
2024-08-05 00:00:00,52.6%
2024-08-06 00:00:00,52.8%
2024-08-07 00:00:00,52.8%
2024-08-08 00:00:00,52.8%
2024-08-09 00:00:00,52.8%
2024-08-10 00:00:00,52.8%
2024-08-11 00:00:00,52.9%
2024-08-12 00:00:00,52.9%
2024-08-13 00:00:00,52.9%
2024-08-14 00:00:00,52.9%
2024-08-15 00:00:00,52.9%
2024-08-16 00:00:00,52.9%
