date,bonded_percent,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,token,bonded_tokens
2023-12-08,0.5329999999999999,14.86%,-0.523169334101,2.797791676607,9.672188113468,49.678598808969,0.7579096897014064,25436155.29,373339310.8192896,587378721.0,492590761.0,Osmosis,262550876.0
2023-12-09,0.5329999999999999,14.85%,-0.014454829598,3.805670182152,13.407061342209,48.906457386805,0.786753232770012,20340085.81,387547373.64939034,587378721.0,492590761.0,Osmosis,262550876.0
2023-12-10,0.531,14.89%,-1.238369620064,0.645850706929,11.535134945572,50.130699678684,0.7918344840856419,23816462.06,390050351.10178876,587378721.0,492590761.0,Osmosis,261565694.0
2023-12-11,0.531,14.88%,1.076713471659,5.582744017391,14.756938960312,52.312770394451,0.8360405763735718,17474049.77,411825863.74273634,587378721.0,492590761.0,Osmosis,261565694.0
2023-12-12,0.53,14.91%,0.380114868739,1.81567066481,16.450217492059,34.485996193097,0.851220319864698,32986171.69,419303265.140815,587378721.0,492590761.0,Osmosis,261073103.0
2023-12-13,0.531,14.89%,1.033186584349,26.154575451301,39.943724075097,72.359361089605,1.0738533806805137,98808789.72,528970253.99183697,587378721.0,492590761.0,Osmosis,261565694.0
2023-12-14,0.529,14.92%,0.873890067952,1.160979921342,47.341247301066,70.411637352979,1.0863206028148675,48718985.82,535111492.43055433,587378721.0,492590761.0,Osmosis,260580513.0
2023-12-15,0.529,14.92%,0.192802254283,13.692523734503,62.956791022775,102.393462319511,1.2350653091880852,60010571.89,608381760.5376592,587378721.0,492590761.0,Osmosis,260580513.0
2023-12-16,0.528,14.96%,-0.81332785798,10.734770756551,73.83426999186,100.164504320623,1.3676467388231097,75146175.13,673690147.8560438,587378721.0,492590761.0,Osmosis,260087922.0
2023-12-17,0.529,14.92%,0.314265372321,7.6388644448,85.912516930283,119.44659808124,1.4721194192855365,76396792.96,725152425.0287405,587378721.0,492590761.0,Osmosis,260580513.0
2023-12-18,,,-0.269025228707,-2.12638947599,72.338097886296,117.852976273621,1.4408164268798436,64260862.6,709732860.178043,587378721.0,492590761.0,Osmosis,
2023-12-19,,,1.659704157327,5.061942099022,77.832892946248,121.002378247875,1.5137497201616976,51506429.89,745659126.6179876,587378721.0,492590761.0,Osmosis,
2023-12-20,,,-0.099269604875,-9.878692440662,27.038855166711,103.34985863356,1.3642110409855426,47491920.81,671997754.8436706,587378721.0,492590761.0,Osmosis,
2023-12-21,,,0.11256486127,4.721464414439,31.510143149425,121.017850403718,1.4286217798235243,57015238.07,703725889.7044443,587378721.0,492590761.0,Osmosis,
2023-12-22,,,0.047789324496,2.585720783038,18.662708699904,146.27322979772,1.4655619500954273,47573308.84,721922276.2901505,587378721.0,492590761.0,Osmosis,
2023-12-23,,,0.099841031285,3.138472972359,10.52256206841,138.318211854226,1.5115582157923537,45884951.22,744579611.8129578,587378721.0,492590761.0,Osmosis,
2023-12-24,,,0.074593285661,-1.591831449328,1.044571333785,134.918933256582,1.4874967567384727,24881212.5,732727159.3868362,587378721.0,492590761.0,Osmosis,
2023-12-25,,,0.132555644496,3.932505059626,7.299765127394,138.361733849081,1.5459926419589862,47508668.35,761541692.0029776,587378721.0,492590761.0,Osmosis,
2023-12-26,,,-0.792999560197,0.56637930723,2.708446691456,133.119912317038,1.5547488243743408,46316801.28,765854906.5624119,587378721.0,492590761.0,Osmosis,
2023-12-27,,,0.397260271634,2.780980263147,17.136281287335,134.665196497073,1.5979860823217027,172415685.56,787153180.3582562,587378721.0,492590761.0,Osmosis,
2023-12-28,,,0.701381280187,10.020913272128,23.063984223243,173.459212166803,1.7581188817318327,42767151.54,866033117.8807524,587378721.0,492590761.0,Osmosis,
2023-12-29,,,0.067325767319,-6.865663490856,11.725905236303,153.734190594153,1.637412355542933,46900322.16,806574198.2876959,587378721.0,492590761.0,Osmosis,
2023-12-30,,,0.233269869505,-3.256347774114,4.798644087933,126.575679384506,1.5840925147501355,41728061.89,780309337.335173,587378721.0,492590761.0,Osmosis,
2023-12-31,,,0.002549852033,-4.065710203033,2.164115442145,119.90416525716,1.5196879037524547,29141075.78,748584220.9919164,587378721.0,492590761.0,Osmosis,
