date,bonded_percentage,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circ_supply,token,bonded_tokens,has_liquid_staking,chain,inflation
2023-10-03,0.6766,0.205,-0.175040589066,-5.428210194567,1.639522587574,4.764894586688,7.153743382670678,75817276.72,2628758953.835087,367466208.0,367466208.0,Cosmos,248635021.0,True,Atom,0.142
2023-10-04,0.677,0.205,-0.049346485204,-1.175842695291,1.641731404926,3.837427780663,7.069626613665648,75392924.31,2599009871.9213457,367630430.0,367630430.0,Cosmos,248874886.0,True,Atom,0.142
2023-10-05,0.6768000000000001,0.205,-0.159170979731,-1.397005603081,0.050778939374,3.723600512966,6.970863533755867,76001247.43,2563851987.8784184,367795464.0,367795464.0,Cosmos,248926551.0,True,Atom,0.142
2023-10-06,0.6774,0.205,-0.103284615745,-1.909214639374,-3.804017569563,0.351902406571,6.837774786678591,60788620.37,2516025285.662827,367959660.0,367959660.0,Cosmos,249262121.0,True,Atom,0.142
2023-10-07,0.6775,0.205,-0.157555249948,1.127298889292,-2.744548516143,0.366910034905,6.914856945901087,55606521.17,2545516099.462854,368122742.0,368122742.0,Cosmos,249412759.0,True,Atom,0.142
2023-10-08,0.6775,0.205,-0.072038906178,0.704073492199,-3.829708968303,0.370913606324,6.96354262068069,45663532.1,2564588084.445516,368287842.0,368287842.0,Cosmos,249525831.0,True,Atom,0.142
2023-10-09,0.6773,0.205,0.17985218099,-0.28232912771,-8.202550442898,1.61067149402,6.943882511541975,44138000.5,2558480871.893103,368451060.0,368451060.0,Cosmos,249561783.0,True,Atom,0.142
2023-10-10,0.6775,0.205,-0.012252638737,-1.657853127921,-4.542799862415,-0.323558775075,6.828763138125187,73425708.44,2517184558.3038316,368615005.0,368615005.0,Cosmos,249731989.0,True,Atom,0.142
2023-10-11,0.6775,0.205,-0.090865313014,-2.153427120598,-5.487077807029,0.310194079623,6.68171070070739,212843858.94,2464096853.9562254,368782332.0,368782332.0,Cosmos,249855185.0,True,Atom,0.142
2023-10-12,0.6779000000000001,0.205,-0.252216034472,0.34808066434,-3.814378071879,5.246305291364,6.704968443703701,84642427.97,2473785052.730921,368948053.0,368948053.0,Cosmos,250107214.0,True,Atom,0.141
2023-10-13,0.655,0.212,0.345593325523,-1.76300304047,-3.67100626053,3.218647395034,6.586759646178661,73658257.56,2431273334.687753,369115235.0,369115235.0,Cosmos,241750262.0,True,Atom,0.141
2023-10-14,0.6673,0.20800000000000002,0.020690453663,-0.360317708716,-5.088038175059,0.295877123634,6.563026384742927,56185211.36,2423606859.6710258,369281901.0,369281901.0,Cosmos,246430221.0,True,Atom,0.142
2023-10-15,0.6673,0.20800000000000002,-0.061415762261,0.345815096249,-5.425690923561,-3.658653254743,6.585722320752145,36603449.92,2433095006.030323,369449984.0,369449984.0,Cosmos,246511904.0,True,Atom,0.142
2023-10-16,0.6685,0.207,-0.023154097835,0.265749554999,-4.905881723413,-4.662232107406,6.603223848512983,47972528.65,2440669923.610779,369617929.0,369617929.0,Cosmos,247070652.0,True,Atom,0.142
2023-10-17,0.6687000000000001,0.207,-0.052800168696,0.462214073244,-2.855835760473,-7.192551783203,6.6337448784286295,85744360.07,2453070341.9849944,369786657.0,369786657.0,Cosmos,247269728.0,True,Atom,0.142
