NEG_ONE,ONE,crv_cumm,crv_daily_release,crv_daily_release_avg,curve_price,cvxcrv_cumm,cvxcrv_depeg,cvxcrv_depeg_diff,cvxcrv_price,market_cap,other_cumm,sdcrv_cumm,sdcrv_depeg,sdcrv_depeg_diff,sdcrv_price,time,total_crv,ycrv_cumm,ycrv_depeg,ycrv_depeg_diff,ycrv_price
-1,1,727825309.1888565,479706.56520751835,538794.602042723,1.011659038194447,289091731.2414106,0.8811687468426506,0.0024881406801462447,0.8914423269178421,1375818169.6229875,288778090.876125,24325933.245295197,,,,2023-01-31 00:00:00.000 UTC,1359962317.0257754,29941252.474088043,0.9906447944398115,-5.170369155171883e-05,1.0021947599353154
-1,1,727368600.9133705,497696.2735023608,541750.1961578564,1.042093864583334,289087075.9390341,0.8786806061625043,-0.002874593132966785,0.9156676686103106,1416708487.3686922,288766621.9178831,24325832.13665499,,,,2023-01-30 00:00:00.000 UTC,1359482610.4605677,29934479.553625032,0.9906964981313632,-0.0027658826469684206,1.032398742366888
-1,1,726883711.5866119,466668.2152051142,542570.9778478043,1.0866510520833321,289085029.74058795,0.8815551992954711,-0.0013583405519806968,0.9579428847839552,1476742386.7667513,288756504.25849056,24325822.766841426,,,,2023-01-29 00:00:00.000 UTC,1358984914.1870654,29933845.83453357,0.9934623807783316,0.002068434508282757,1.079546941277986
-1,1,726586382.9953834,494367.1849882336,546767.8012001489,1.088522201388887,288914086.6330541,0.8829135398474518,-0.012454546244426323,0.961070990030803,1478777271.7322588,288758568.6904889,24325361.818400405,,,,2023-01-28 00:00:00.000 UTC,1358518245.9718604,29933845.83453357,0.9913939462700488,0.0028844595637163017,1.0791543208374894
-1,1,726152950.4828726,504801.28506693663,546313.8664179418,1.0453144340277776,288908809.65989596,0.8953680860918781,0.008197389975402092,0.935941184159666,1419561962.2503061,288705762.8208456,24324828.83576061,,,,2023-01-27 00:00:00.000 UTC,1358023878.786872,29931526.987497255,0.9885094867063325,0.0002531827215366267,1.0333032346275188
-1,1,725665116.7048514,886601.9216160574,573049.5634079718,1.057364833333334,288900580.5511135,0.887170696116476,-0.011165868437600923,0.9380630952374157,1435392933.1295176,288805242.2360151,24323234.45200797,,,,2023-01-26 00:00:00.000 UTC,1357519077.501805,29824903.55781715,0.9882563039847959,-0.0010660452044306545,1.0449474621535004
-1,1,724802889.2599407,491549.1261212924,526297.8359213826,1.0034567777777776,288895152.067349,0.898336564554077,-0.0009196983389729851,0.9014419144273926,1361322052.5743861,288790891.57696044,24318639.118121624,,,,2023-01-25 00:00:00.000 UTC,1356632475.580189,29824903.55781715,0.9893223491892266,-0.0015121611035229243,0.9927422167009626
-1,1,725068563.9149332,488966.24463425274,527382.787291347,1.0748053437499998,288840695.4345574,0.8992562628930499,0.02761368392199426,0.9665254367581048,1457587514.6309075,288736135.88559824,24308598.167916812,,,,2023-01-24 00:00:00.000 UTC,1356140926.4540677,29186933.051062066,0.9908345102927495,0.000231907575426904,1.0649542264345613
-1,1,724622445.037119,503351.3181285856,525753.1912718051,1.089028635416667,288832347.7668954,0.8716425789710557,-0.014642397461175793,0.9492437283479132,1476343804.3268092,288702891.8258953,24307570.294333003,,,,2023-01-23 00:00:00.000 UTC,1355651960.2094336,29186705.28519069,0.9906026027173226,0.007396531265493667,1.0787946006774445
-1,1,726231897.8672072,504262.5270219447,525210.7852718666,1.053391947916666,288823635.9136209,0.8862849764322315,-0.010778168160669788,0.9336054577332248,1427502632.836572,288626520.5735889,24307190.450062353,,,,2023-01-22 00:00:00.000 UTC,1355148608.891305,27159364.08682558,0.9832060714518289,-0.011203778925795826,1.0357013588101347
