index,date,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,token,total_tokens,percentage_bonded
330,2023-11-10,3.368356863702,0.584490371465,13.979760427503,32.785177965444,2.5291746461523683,218418800.22,464775101.6085299,1000000000.0,183765523.0,dYdX (ethDYDX),5265921.48156609,0.02865565529158639
331,2023-11-11,-0.216353001688,12.524290439577,23.704867779943,53.048140069089,2.845935824560623,246069414.04,522984885.2248192,1000000000.0,183765523.0,dYdX (ethDYDX),6834176.215257514,0.03718965398780224
332,2023-11-12,-0.011254140184,4.290962223203,25.789381288838,62.712385036526,2.9680538556891265,316447618.81,545425969.0828788,1000000000.0,183765523.0,dYdX (ethDYDX),6887675.2571205925,0.037480780641973806
333,2023-11-13,-1.045680808922,7.986461891863,34.938944585604,73.73945233304,3.2050963458037236,351824464.31,588986206.2520101,1000000000.0,183765523.0,dYdX (ethDYDX),6966881.01603913,0.037911795979483756
334,2023-11-14,2.515833138965,-6.060145308664,21.28263894876,64.392649304804,3.0108628499653465,245170224.45,553292786.3051524,1000000000.0,183765523.0,dYdX (ethDYDX),7809680.017345759,0.0424980697676667
335,2023-11-15,4.070043230487,29.229350143974,59.723450196597,111.301012691301,3.8909184947365514,629691613.29,715016672.1356351,1000000000.0,183765523.0,dYdX (ethDYDX),9677441.86356333,0.0526619014577796
336,2023-11-16,0.042357003565,2.528849139822,58.653777257838,112.022027749561,3.989313953621878,695050139.0,733098365.0985222,1000000000.0,183765523.0,dYdX (ethDYDX),9708642.47349802,0.05283168635227632
337,2023-11-17,-2.360763713805,-9.14183870311,43.312258492518,98.854210483537,3.624617306621114,367498756.18,666079695.0260804,1000000000.0,183765523.0,dYdX (ethDYDX),10219226.682784889,0.05561014120578477
338,2023-11-18,-0.778041414208,-6.167707077587,19.505910818993,82.457642293495,3.4010615284651924,429235146.15,624997850.5335854,1000000000.0,183765523.0,dYdX (ethDYDX),10618713.54229888,0.05778403570455857
339,2023-11-19,-0.241253214263,-4.990565007455,8.870306910026,73.692593368862,3.2313293419436078,263300742.59,593806926.5075129,1000000000.0,183765523.0,dYdX (ethDYDX),13150548.979867171,0.07156156805249683
340,2023-11-20,2.45895452606,4.560694186148,5.416500062487,79.441665345266,3.3787003913769387,215426239.14,620888644.4816878,1000000000.0,183765523.0,dYdX (ethDYDX),13183799.787346171,0.07174250954215264
341,2023-11-21,-0.073763441871,-10.124340181475,0.855781925638,55.844210497619,3.0366292700410993,287825175.77,558027765.9662108,1000000000.0,183765523.0,dYdX (ethDYDX),13707290.096906444,0.07459119574299279
342,2023-11-22,0.905542976899,0.325309795518,-21.702093563993,54.00902383615,3.04650772251011,436540643.13,559843084.9506092,1000000000.0,183765523.0,dYdX (ethDYDX),15117728.782960963,0.08226640414459552
343,2023-11-23,-0.195812209837,12.951745583369,-13.742470712711,64.868418606395,3.4410836519073134,410250262.39,632352536.9794974,1000000000.0,183765523.0,dYdX (ethDYDX),15661834.310379142,0.08522727253021853
344,2023-11-24,-1.295656424686,-3.950285080327,-8.813793065356,46.081002550241,3.3051510378044497,188732707.02,607372809.0561274,1000000000.0,183765523.0,dYdX (ethDYDX),15758483.468087638,0.0857532099102596
345,2023-11-25,0.075017384445,8.62275658144,5.559577102488,51.509153635981,3.5901461664432768,216846674.6,659745087.9228938,1000000000.0,183765523.0,dYdX (ethDYDX),15796772.961037643,0.08596157050110886
346,2023-11-26,0.061170625607,-2.565923372188,8.253458459259,50.785755093661,3.4980257668627806,92524547.72,642816534.5150149,1000000000.0,183765523.0,dYdX (ethDYDX),14758232.769984419,0.08031012852168368
347,2023-11-27,-0.080455323351,-1.602817969091,1.87226988497,47.13107247415,3.4419587813080645,88551886.71,632513355.5915191,1000000000.0,183765523.0,dYdX (ethDYDX),14790323.027163094,0.0804847546248547
348,2023-11-28,0.822124147654,-6.594118499876,5.873705831342,32.673643041495,3.214991940551727,92667015.6,590804675.396273,1000000000.0,183765523.0,dYdX (ethDYDX),16447476.444696449,0.08950251481447066
349,2023-11-29,0.597771840711,-0.177224873621,5.3433789593,29.444717022677,3.20929417514815,94174961.85,589757622.5569534,1000000000.0,183765523.0,dYdX (ethDYDX),17755331.704930484,0.09661949322741287
350,2023-11-30,-0.281389142812,0.87499077107,-5.919892380333,32.405966053272,3.2373752029971845,88596582.93,594917947.3260088,1000000000.0,183765523.0,dYdX (ethDYDX),18887346.40797963,0.1027795970628268
351,2023-12-01,1.178381831354,0.453629886078,-1.606284637366,40.535815056149,3.252060904442457,102392359.78,597616672.9327211,1000000000.0,183765523.0,dYdX (ethDYDX),19854881.116445508,0.10804464728917354
